name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
Dion Pereira,Bradford City,300 tys. €,GB4,2021,250000.0
Daniel Adshead,AFC Rochdale,250 tys. €,GB4,2022,250000.0
Daniel Adshead,FC Gillingham,200 tys. €,GB3,2021,250000.0
Dan Chesters,Colchester United,250 tys. €,GB4,2022,250000.0
Scott Banks,Bradford City,250 tys. €,GB4,2022,250000.0
Josh Reid,FC Stevenage,250 tys. €,GB4,2022,250000.0
Kazeem Olaigbe,Harrogate Town,225 tys. €,GB4,2022,225000.0
Caleb Chukwuemeka,Crawley Town,200 tys. €,GB4,2022,200000.0
Lewis Richardson,Grimsby Town,200 tys. €,GB4,2022,200000.0
Aaron Rowe,Stockport County,200 tys. €,GB4,2022,200000.0
Ed Turns,Leyton Orient,200 tys. €,GB4,2022,200000.0
Rayhaan Tulloch,AFC Rochdale,200 tys. €,GB4,2022,200000.0
Rayhaan Tulloch,Doncaster Rovers,-,GB3,2020,200000.0
Kwesi Appiah,Colchester United,200 tys. €,GB4,2022,200000.0
Jonathan Tomkinson,FC Stevenage,150 tys. €,GB4,2022,150000.0
Hayden Lindley,Newport County,150 tys. €,GB4,2022,150000.0
Jack Jenkins,Salford City,150 tys. €,GB4,2022,150000.0
Femi Seriki,AFC Rochdale,150 tys. €,GB4,2022,150000.0
Ryan Finnigan,Crewe Alexandra,150 tys. €,GB4,2022,150000.0
Jack Spong,Crawley Town,150 tys. €,GB4,2022,150000.0
Tolaji Bola,Bradford City,150 tys. €,GB4,2022,150000.0
Tolaji Bola,AFC Rochdale,-,GB3,2020,150000.0
Jake Eastwood,AFC Rochdale,100 tys. €,GB4,2022,100000.0
Jake Eastwood,FC Portsmouth,100 tys. €,GB3,2021,100000.0
